resource,animal,source,sha256,date_rejected
app/src/main/res/raw/dog_fs2.mp3,Dog,https://freesound.org/people/wateenfotos/sounds/749351/ (id 749351: Barking Inez 2),64a154bc712c180fb85868eab4aa5f061e77d34c467c44b08f58052ae38b8218,2026-06-14
app/src/main/res/raw/dog_fs5.mp3,Dog,https://freesound.org/people/RamomLandim/sounds/655176/ (id 655176: Subir_cama_sofa_17_.wav),991cfe9854f3b831a6da632a1fbfd45e5a54b1731306e848b8de50e592e2ce93,2026-06-14
app/src/main/res/raw/dolphin_fs2.mp3,Dolphin,https://freesound.org/people/Mastersoundboy2005/sounds/737276/ (id 737276: Dolphin Sound effect Online),9faf3ba038c36133fc8bceadc850c61d1984a877e22d441774f016d40387b6df,2026-06-14
app/src/main/res/raw/dolphin_fs4.mp3,Dolphin,https://freesound.org/people/leonseptavaux/sounds/711803/ (id 711803: DOLPHIN_SFX_5),a605b47f9af88b66b606773825d3f4e94b9c53d35b2286505c8d597fe0d86517,2026-06-14
app/src/main/res/raw/duck_fs7.mp3,Duck,https://freesound.org/people/OwennewO/sounds/719106/ (id 719106: Male Duck Quack),dace843929fbf7f59397ac819749e5b7583b67740daa7d263593bc9fd8cb3594,2026-06-14
app/src/main/res/raw/duck_fs8.mp3,Duck,https://freesound.org/people/DigPro120/sounds/558858/ (id 558858: Duck quacking.mp3),efbe0285d732dc9cf2a580ca031e4c9dc36cf7a6a01a5857ae06a1f6b7f4a858,2026-06-14
app/src/main/res/raw/duck_fs9.mp3,Duck,https://freesound.org/people/dumnezilla/sounds/749445/ (id 749445: desperate duck quack),057ab2074a64623e8fb5639f87c2839f9824b71972e8e6fff2d1f0d685d14430,2026-06-14
app/src/main/res/raw/elephant_fs1.mp3,Elephant,https://freesound.org/people/vintprox/sounds/854137/ (id 854137: Mastodon trumpet),4e55a65ed7e7dfbcd78eaf9c97a07b1f3eaa7414d5fd71a92d988d786c278de2,2026-06-14
app/src/main/res/raw/elephant_fs2.mp3,Elephant,https://freesound.org/people/bevibeldesign/sounds/350421/ (id 350421: Rhinoceros Trumpet Joyful),60f2dd28dfe28c592a930b911ba42507124be33cf4a30bbfa7ff224853bd1528,2026-06-14
app/src/main/res/raw/elephant_fs3.mp3,Elephant,https://freesound.org/people/bevibeldesign/sounds/350417/ (id 350417: Rhinoceros Trumpet Expressive 1),0bb5e249ec0250ec3720d8d1781676ec849667ba7fcf127ed552f991fd4a38ba,2026-06-14
app/src/main/res/raw/elephant_fs4.mp3,Elephant,https://freesound.org/people/bevibeldesign/sounds/350416/ (id 350416: Rhinoceros Trumpet Expressive 2),a617e7752bd73c5706451c7cc9963bd25eb97676b47a1a9b66bcb78912099a22,2026-06-14
app/src/main/res/raw/elephant_fs5.mp3,Elephant,https://freesound.org/people/bevibeldesign/sounds/350419/ (id 350419: Rhinoceros Trumpet Sudden),456d35b19cdc70c90e400f0ee3fd68294fcc75005af3c3480cbeef2260b9878c,2026-06-14
app/src/main/res/raw/fox_fs1.mp3,Fox,https://freesound.org/people/Setzilla/sounds/173208/ (id 173208: foxBark2.wav),9acc0943204e41893a7213a7d5bbb7a5f014c39fd6143bbc67d9ac9ce0dae155,2026-06-14
app/src/main/res/raw/frog_bsb1.mp3,Frog,https://bigsoundbank.com/UPLOAD/mp3/0819.mp3 (id 0819: One frog),00eb43eaea04674ae3359aecb9fa6344a0297f4ba25560ebb2875ba2cf65a047,2026-06-14
app/src/main/res/raw/frog_fs6.mp3,Frog,https://freesound.org/people/SnowFightStudios/sounds/643666/ (id 643666: Ribbits.mp3),0af49bbe519e6608f8afff924a51bca1d5aab1a812df94fd16803e94c0556035,2026-06-14
app/src/main/res/raw/frog_fs8.mp3,Frog,https://freesound.org/people/casemundy/sounds/130584/ (id 130584: Frogs Under Pier.wav),a6576c9076d0209904015d33c348edfc162266b060bbe2c3962bc1bc64d390ce,2026-06-14
app/src/main/res/raw/goat_bsb3.mp3,Goat,https://bigsoundbank.com/UPLOAD/mp3/0821.mp3 (id 0821: Small herd of goats),6baa6a32d4a3c2a8f01467042a8396dce1b71f017e28ed466d6f7e60821f030c,2026-06-14
app/src/main/res/raw/horse_fs4.mp3,Horse,https://freesound.org/people/dontwanttobehere/sounds/656661/ (id 656661: horse),0990f97c93a93e7181a4df570f7c0c4af5e9a4e1a1d320c9c56d98f3113a7174,2026-06-14
app/src/main/res/raw/horse_fs7.mp3,Horse,https://freesound.org/people/poodaddy69/sounds/521246/ (id 521246: Horse),fb44a391b8d083609afac344310fa509dcda07bf42d2c8a5e98680b3b2a36ab5,2026-06-14
app/src/main/res/raw/hyena_fs5.mp3,Hyena,https://freesound.org/people/Mastersoundboy2005/sounds/719024/ (id 719024: Hyena Kookaburra sound),bea55676c2a90d68f57bc494fe5b2add1a2993594ecbcaf210597d1f318c3f07,2026-06-14
app/src/main/res/raw/lion_fs1.mp3,Lion,https://freesound.org/people/_justMonke_/sounds/611721/ (id 611721: Big Lion Roar),b5e55f2fa997b7aee3b05372202d4534714ed951acad7c6fbc2ef78649f28282,2026-06-14
app/src/main/res/raw/lion_fs3.mp3,Lion,https://freesound.org/people/tahirahg1991/sounds/420466/ (id 420466: Roar.m4a),5f264c8272cc03e5d2b73d424369f1efd9512347385c41c5f20d94aa365f59c3,2026-06-14
app/src/main/res/raw/lion_fs4.mp3,Lion,https://freesound.org/people/Alejandrodiaz17/sounds/547525/ (id 547525: Lion roaring like Burping),eae0701cd21a59206280f2868bf758d3f833eb40050e23b31e7ef7fac5aa52bf,2026-06-14
app/src/main/res/raw/lion_fs5.mp3,Lion,https://freesound.org/people/univ_lyon3/sounds/250683/ (id 250683: LAABI_Rami_2014_2015_Roar.wav),f40d80a9fea2de07556bdc2e7166a83888aab8fb9c93e57bcb9525876054fad8,2026-06-14
app/src/main/res/raw/lion_fs7.mp3,Lion,https://freesound.org/people/smokediggity/sounds/795986/ (id 795986: Lions_roar),ea2e62e271a7a6ba72d2e81661aaacdbc2461fc060c1da0120ef9f52f31b19e6,2026-06-14
app/src/main/res/raw/lion_fs8.mp3,Lion,https://freesound.org/people/shakezerz/sounds/684527/ (id 684527: lion.wav),2b3d25ba045642f7190d520be6f28e463778718355cb0c766a160555ca88ab25,2026-06-14
app/src/main/res/raw/lion_fs9.mp3,Lion,https://freesound.org/people/pepingrillin/sounds/53757/ (id 53757: leon 1.wav),44e6ed2baaa11310eebdab4f429ff0deccf1b073ed1a6fec7af7f4d4ad5e7ac0,2026-06-14
app/src/main/res/raw/monkey_fs1.mp3,Monkey,"https://freesound.org/people/TheKingOfGeeks360/sounds/846533/ (id 846533: Primates - Vervet Monkey, Take 2)",f8962faa90bc96310dfbc4602f9a31d05d89ba09086ce29a3e55fe8f5e21971f,2026-06-14
app/src/main/res/raw/monkey_fs3.mp3,Monkey,https://freesound.org/people/Bidone/sounds/67355/ (id 67355: Gibbon Monkey.mp3),9e493eea4165be903fc6954bbd57a8b96eef463cb1a8d69fa5e8c0a514a11379,2026-06-14
app/src/main/res/raw/monkey_fs4.mp3,Monkey,https://freesound.org/people/CrazyGreenFluff/sounds/674253/ (id 674253: monkey noises.mp3),b3b6957255607e3a0482d57c5abede152f713bdc4add7121f32ee801187c072b,2026-06-14
app/src/main/res/raw/monkey_fs5.mp3,Monkey,https://freesound.org/people/Whitfield_Fahrenheit/sounds/795065/ (id 795065: Static),0d3da72f6fcd84ac21037d1fca212cee58f1288a7204d34e1bf727d0cc769fb5,2026-06-14
app/src/main/res/raw/monkey_fs6.mp3,Monkey,https://freesound.org/people/Whitfield_Fahrenheit/sounds/795055/ (id 795055: RadioTypeNoise),557e7517ade344b84eff281b9b90827c5e121c184755b797cab5ab63c0ee67f7,2026-06-14
app/src/main/res/raw/monkey_fs7.mp3,Monkey,https://freesound.org/people/Whitfield_Fahrenheit/sounds/795053/ (id 795053: NoiseHit),0428602e4b991ea7b69d9d9a8b8c0958b7bc6cd0c7607141f2d94b4a36cefff7,2026-06-14
app/src/main/res/raw/monkey_fs8.mp3,Monkey,https://freesound.org/people/Whitfield_Fahrenheit/sounds/795043/ (id 795043: HummChirp),2ce4228706193a43f2a4aa5e46ef2adf1d47600e0251d7588d52a47e1974345f,2026-06-14
app/src/main/res/raw/monkey_fs9.mp3,Monkey,https://freesound.org/people/Whitfield_Fahrenheit/sounds/795024/ (id 795024: Bass2),f5441a8cf9d4b0dc40abf30093d2b66ab372d1188c8586440a4749c5b142da88,2026-06-14
app/src/main/res/raw/monkey_fs10.mp3,Monkey,https://freesound.org/people/Whitfield_Fahrenheit/sounds/795031/ (id 795031: Boing),8c82055d700cedc29c9dbc2768f05a8f61aced4e920c99803b281f525f9c0fe9,2026-06-14
app/src/main/res/raw/chipmunk_fs1.mp3,Chipmunk,https://freesound.org/people/se2001/sounds/463818/ (id 463818: Another Chipmunk Laugh.mp3),e51f0d4d537d5b2e2e91a9dca0b42b68b4f74f997453b2b02ae27e62055feba4,2026-06-14
app/src/main/res/raw/chipmunk_fs3.mp3,Chipmunk,https://freesound.org/people/Mastersoundboy2005/sounds/757770/ (id 757770: High pitch Wilhelm Scream Sound effect),642d05387376e57572f5de846f7cdd99723f1022ae7259dc8522ad1e53509917,2026-06-14
app/src/main/res/raw/chipmunk_fs4.mp3,Chipmunk,https://freesound.org/people/se2001/sounds/463821/ (id 463821: Chipmunk Telephone Gibberish 3.mp3),8f121af4d5b97fe5ce9b407a78ca8a20359a572ae632b6e753383e398b12103d,2026-06-14
app/src/main/res/raw/chipmunk_fs5.mp3,Chipmunk,https://freesound.org/people/se2001/sounds/463441/ (id 463441: Chipmunk Telephone Gibberish 1.mp3),c5d0419002a14bbefa4cdaba9a7445454786e7ab61c112cf5faef3598fdbfe98,2026-06-14
app/src/main/res/raw/cicada_fs1.mp3,Cicada,https://freesound.org/people/volition74/sounds/512775/ (id 512775: Pobblebonk (Eastern Banjo Frog) Call with Cicadas.wav),11a4ea7ae86a2729a3407808d40b18bec307fa21687db7c1ee40bce225d75e42,2026-06-14
app/src/main/res/raw/cicada_fs2.mp3,Cicada,https://freesound.org/people/volition74/sounds/512774/ (id 512774: Pobblebonk (Eastern Banjo Frog) Call.wav),93751a1228d37e7e8bbc1516321d0af060ae86179c288c764d259ac40206bf6d,2026-06-14
app/src/main/res/raw/cicada_fs4.mp3,Cicada,https://freesound.org/people/soundbytez/sounds/99433/ (id 99433: titi_monkey.wav),df3e85542f91eb2820f8ccf8e4034df4190eb9554227979db6b016f958d246ee,2026-06-14
app/src/main/res/raw/coyote_fs1.mp3,Coyote,https://freesound.org/people/Gerent/sounds/558724/ (id 558724: dogs-howling-yelping-distance-far-05.wav),e876d7be4aa4a0b31043e7468cf919ab164e4ae22af396c57ae84d1aab73a545,2026-06-14
app/src/main/res/raw/coyote_fs2.mp3,Coyote,https://freesound.org/people/Gerent/sounds/558723/ (id 558723: dogs-howling-yelping-distance-far-06.wav),2756fcb1bd4ec51a69f954cd837c5064decba95864c53af7819403266c9f96c9,2026-06-14
app/src/main/res/raw/coyote_fs3.mp3,Coyote,https://freesound.org/people/Gerent/sounds/558722/ (id 558722: dogs-howling-yelping-distance-far-07.wav),eb777b096fe915232641b1af2f048c051290e7118342e24f2989bb6eaaf32260,2026-06-14
app/src/main/res/raw/coyote_fs4.mp3,Coyote,https://freesound.org/people/Gerent/sounds/558721/ (id 558721: dogs-howling-yelping-distance-far-01.wav),b0c9aede94db48beb9f4795eae9a9e63785fe34132a94068ec24f0344e7940df,2026-06-14
app/src/main/res/raw/coyote_fs5.mp3,Coyote,https://freesound.org/people/Gerent/sounds/558720/ (id 558720: dogs-howling-yelping-distance-far-02.wav),3001c5c057261f4615444a3fdf179c77242ef5fcbcef6a4c3dc88c14b5796b95,2026-06-14
app/src/main/res/raw/cricket_fs2.mp3,Cricket,https://freesound.org/people/Fission9/sounds/467857/ (id 467857: Artificial Cricket Chirp),861a9af79a17c9bdf50292dd8f579911a92d54a73921fd0831cf9d7cc0164401,2026-06-14
app/src/main/res/raw/dolphin_fs1.mp3,Dolphin,https://freesound.org/people/Mastersoundboy2005/sounds/634623/ (id 634623: Barbery Domestic Dolphin Sound),8ee2cbaa320f3994c61cad5fda613a4215b976c89ddf34ce88fa2e44b774e3fa,2026-06-14
app/src/main/res/raw/eagle_fs3.mp3,Eagle,https://freesound.org/people/Vrymaa/sounds/770032/ (id 770032: Bird - Red-shouldered hawk),c34cd7e6745aa3f2bfd7d8e83c30ad9c7a12a668852dd8cdc5f02b1bdeb5def4,2026-06-14
app/src/main/res/raw/eagle_fs5.mp3,Eagle,https://freesound.org/people/J.R.Mythical/sounds/563685/ (id 563685: Gryffin Cry.mp3),5e74f5d86fcee71abfab6bf1216ade7a24629089d0a501b79b61d167da9dfd01,2026-06-14
app/src/main/res/raw/frog_fs7.mp3,Frog,https://freesound.org/people/anational/sounds/443960/ (id 443960: wooden-frog.wav),1a7e8a76b3e99aed8d9a91b97f5d56744bbee97eae43849942c35320dbf20187,2026-06-14
app/src/main/res/raw/horse_fs9.mp3,Horse,https://freesound.org/people/TheKingOfGeeks360/sounds/856360/ (id 856360: Mules - Mule; Neigh and Short Bray),3d07d0f22e9fe0dc41f4d5273c82606a4ab9cecaa9099bd41b33c66cabf9e904,2026-06-14
app/src/main/res/raw/lion_fs10.mp3,Lion,https://freesound.org/people/djvanbeat/sounds/341767/ (id 341767: Chimera Roar by djvanbeat.mp3),506cd3f9fa45fed9d93430f0ec90f30421a6917ca8bd6519e557333ee9245fa2,2026-06-14
app/src/main/res/raw/parrot_fs3.mp3,Parrot,https://freesound.org/people/TheKingOfGeeks360/sounds/777592/ (id 777592: Parrots - Amazon; High-pitched Whimper),2e7ced52b1bef3345fcf3d8588355f2e5f7b14f749835546b15370a8a5f0418d,2026-06-14
app/src/main/res/raw/peacock_fs5.mp3,Peacock,https://freesound.org/people/TheKingOfGeeks360/sounds/845707/ (id 845707: Fowl - Germain's Peacock Pheasant),13a1bef8434dd07d73f4101af22d954fc249f7129520674e1b8dce5d89159140,2026-06-14
app/src/main/res/raw/pig_fs1.mp3,Pig,https://freesound.org/people/TheKingOfGeeks360/sounds/842313/ (id 842313: Swine - Pig; Dinosaur-like Grunt),8f73cf3acd2cd98bfcabc3d87eaf8e7f5365f2e8f75641ea81b1202e7815e46f,2026-06-14
app/src/main/res/raw/seal_fs1.mp3,Seal,https://freesound.org/people/RavenWolfProds/sounds/503658/ (id 503658: Quick sea lion bark),2d3d8442aa9d8f25d0694f8c8e8cd166f9cfa0ab0b93cb5207cab39a58a63eec,2026-06-14
app/src/main/res/raw/seal_fs2.mp3,Seal,https://freesound.org/people/nifvimp/sounds/680735/ (id 680735: Sea Lion 3.wav),846d389684483c44b7d3fe5142512ed1a1c14ae6f1689fa46c5183260eefc450,2026-06-14
app/src/main/res/raw/seal_fs3.mp3,Seal,https://freesound.org/people/nifvimp/sounds/680733/ (id 680733: Sea Lion 1.wav),d7e70ba35d0f0cf85e9ae272dae59a110849be74665c4f353a9c1b9005da278b,2026-06-14
app/src/main/res/raw/seal_fs4.mp3,Seal,https://freesound.org/people/nifvimp/sounds/680734/ (id 680734: Sea Lion 2.wav),f425b9ad2fba1f330256e9a04c560bd34a68d88cc124c9ad6eb7c03c368fef1f,2026-06-14
app/src/main/res/raw/tiger_fs4.mp3,Tiger,https://freesound.org/people/szegvari/sounds/546399/ (id 546399: Angry Tiger Fantasy),1b1ff032785479eef6e3d2d20af8afeec2d4a50a5559c5283af85a9605da5d40,2026-06-14
app/src/main/res/raw/tiger_fs5.mp3,Tiger,https://freesound.org/people/Arcadium1/sounds/316746/ (id 316746: Large Creature or Machinery Sound.wav),8beb11fdb1fd1b40078e8f866ca61101a6c16f7a2c07f911b3b6881de6998d04,2026-06-14
app/src/main/res/raw/whale_fs4.mp3,Whale,https://freesound.org/people/JarredGibb/sounds/233273/ (id 233273: Dinosaur 1.wav),e1b5f9f4e746eab75ec1e5d5f476ae88603e50697c7a36ec43bc20f368437051,2026-06-14
app/src/main/res/raw/whale_fs5.mp3,Whale,https://freesound.org/people/Mastersoundboy2005/sounds/634623/ (id 634623: Barbery Domestic Dolphin Sound),8ee2cbaa320f3994c61cad5fda613a4215b976c89ddf34ce88fa2e44b774e3fa,2026-06-14
app/src/main/res/raw/wolf_fs1.mp3,Wolf,https://freesound.org/people/superEGsonic/sounds/784596/ (id 784596: werewolf_howl_01),c4ff13b75fdbdf2b309ca4b4c68321a1b6696a6351866a5aedddd8e277ea04f7,2026-06-14
app/src/main/res/raw/chipmunk_fs2.mp3,Chipmunk,https://freesound.org/people/se2001/sounds/463817/ (id 463817: Chipmunk Laugh.mp3),75aa003c8b391f790d52f0568971cbd0d43461f5c2ffed56e1223361ea748bde,2026-06-14
app/src/main/res/raw/seal_fs5.mp3,Seal,https://freesound.org/people/florianreichelt/sounds/450751/ (id 450751: Sound of a Seal),2e4aee8d2025bc8f425d97b159e9f3fbf4200169a5aed5c1f91938e4992a7882,2026-06-14
app/src/main/res/raw/monkey_fs4.mp3,Monkey,https://freesound.org/people/TheKingOfGeeks360/sounds/839838/ (id 839838: Primates - Vervet Monkey),9d6da586a77ce86c6ef3af0c0bea2fb77b26073e3dd7026c7b6c6b8d69af8eab,2026-06-14
app/src/main/res/raw/monkey_fs7.mp3,Monkey,https://freesound.org/people/DarkoZL/sounds/128473/ (id 128473: a monkey),114b96d4ec42cce669b66a5056efe367269d9f7d8040850af5c2be21538b5d19,2026-06-14
app/src/main/res/raw/monkey_fs8.mp3,Monkey,https://freesound.org/people/Radio_fragola_gorizia/sounds/400087/ (id 400087: monkey2.wav),97b53c81cab4b314c550e1573301481002a2954893061e51a034efa0b29b702b,2026-06-14
app/src/main/res/raw/elephant_fs1.mp3,Elephant,https://freesound.org/people/gordonez/sounds/766592/ (id 766592: elephant),33d9486066dc19d3c06ec5193b8fe8fa3ee56a5c3f905fb750a09c6baebe45ff,2026-06-14
app/src/main/res/raw/dolphin_fs1.mp3,Dolphin,https://freesound.org/people/Taotao7/sounds/543875/ (id 543875: Nasa dagat ang mga dolpin.m4a),5e7752a03b875be81ae85d73a5d4dde12f8f3cb39c4c7c667f6f7e69c43e3aa8,2026-06-15
app/src/main/res/raw/dolphin_fs2.mp3,Dolphin,https://freesound.org/people/leonseptavaux/sounds/711801/ (id 711801: DOLPHIN_SFX_3),0f0da3b24a21249953ec392df1d9bb5a190ddfe98b2c48858aadfee006a211bf,2026-06-15
app/src/main/res/raw/dolphin_fs4.mp3,Dolphin,https://freesound.org/people/leonseptavaux/sounds/711684/ (id 711684: DOLPHIN_SFX_1),03ad5f14526952fb6eaa6c83f5f85e0c951b6cc05f7d2b23611f693ceaf48d45,2026-06-15
app/src/main/res/raw/elephant_fs3.mp3,Elephant,https://freesound.org/people/ikbenraar/sounds/819668/ (id 819668: Elephant sound),4cb13a27903246020b1f386fe2d019a6f6ec3665b465f6c252d6b71719c934e3,2026-06-15
app/src/main/res/raw/frog_bsb1.mp3,Frog,https://freesound.org/people/guanescape/sounds/640103/ (id 640103: ranas conucos frogs.aif),4e9b0cd2a1cfecf2a09f065e89367248400daf1bbdcd46579d91fdaf448c877b,2026-06-15
app/src/main/res/raw/frog_fs6.mp3,Frog,https://freesound.org/people/tristanm22/sounds/532742/ (id 532742: Frog.m4a),3dcbad1fb2efc80c28714835044d410aa8b8cd99760333e602fea3fdd6f15488,2026-06-15
app/src/main/res/raw/owl_fs6.mp3,Owl,https://freesound.org/people/Gerent/sounds/558397/ (id 558397: owl_hooting_000102_0145S3 002-070 000-002 037-044.wav),67941829f90fc1d6e40d25c264317c6ff8ca6d096ba666eb9135959d1368ed02,2026-06-15
app/src/main/res/raw/peacock_fs9.mp3,Peacock,https://freesound.org/people/TheKingOfGeeks360/sounds/843480/ (id 843480: Fowl - Indian Peafowl; Low Honk),b7992e5848545a34f2c2ae321edcaf76a297c37a56f940f01ed1f5bdd51e2e99,2026-06-15
app/src/main/res/raw/penguin_fs2.mp3,Penguin,https://freesound.org/people/hackerb9/sounds/110116/ (id 110116: ChargingPenguin.ogg),000b4701750414de95f61c57ea30e41b31abedc84327f17e2af16afb2f60576d,2026-06-15
app/src/main/res/raw/penguin_fs3.mp3,Penguin,https://freesound.org/people/Vortichez/sounds/545415/ (id 545415: African penguins at Boulders Beach),d3f7b8e9ef9c781393301fc9541234561f3db81f7cc0d908817e7955d7355e8c,2026-06-15
app/src/main/res/raw/penguin_fs5.mp3,Penguin,https://freesound.org/people/darkiron98/sounds/446344/ (id 446344: 16-BalbuceoPinguinoRapido.wav),b8d673f549d90f0c05e65c5a3d187750b7eaf08a43ca7ef6ff39df0d837d751d,2026-06-15
app/src/main/res/raw/sheep_fs6.mp3,Sheep,https://freesound.org/people/esperar/sounds/171151/ (id 171151: sheep 2.mp3),fff5e544fab06d0e88b81306f42c6c3b9f64f0f771d52a803eadd687f927edb5,2026-06-15
app/src/main/res/raw/sheep_fs10.mp3,Sheep,https://freesound.org/people/esperar/sounds/171152/ (id 171152: sheep 1),bfd28ec8578eb71de20b74867ee8688ca428e2619e059e530a4634c88fc3fb65,2026-06-15
app/src/main/res/raw/snake_fs2.mp3,Snake,https://freesound.org/people/bowlingballout/sounds/678971/ (id 678971: Snake Tongue Hiss.WAV),80b3fe742720ff91dc44c9528a878992520e31defd9e06a047f0a828331af1e2,2026-06-15
app/src/main/res/raw/snake_fs4.mp3,Snake,https://freesound.org/people/Zeval34/sounds/578484/ (id 578484: Hisss 2.m4a),2e5087e62cd379e60ddf54f991996fb8942c89f244b82967b76f9ef8ca492ac4,2026-06-15
app/src/main/res/raw/squirrel_fs2.mp3,Squirrel,https://freesound.org/people/burgersmoke/sounds/640994/ (id 640994: Two Ground Squirrels Interacting),8acb4b0896053ce95b83fef49eafa259fade80d63d9bb010722bf56304f83ae1,2026-06-15
app/src/main/res/raw/squirrel_fs3.mp3,Squirrel,https://freesound.org/people/Mastersoundboy2005/sounds/763330/ (id 763330: Squirrel chattering sound effect),4bf477d744b8e1bedfe082a14f4cbf39e54de211e36136055b4a144d8f286c3e,2026-06-15
app/src/main/res/raw/whale_fs3.mp3,Whale,https://freesound.org/people/SieuAmThanh/sounds/484197/ (id 484197: Thằn Lằn Khổng Lộ Nước),8c121303e2d3ce8dcf30bf8ff9c6cc33c0bc04499c778fcf78f1238351b88a5a,2026-06-15
app/src/main/res/raw/wolf_fs4.mp3,Wolf,https://freesound.org/people/genel/sounds/399185/ (id 399185: wolf 3.wav),ebab7d0d53d2cb5a835c0bae03c5649e20d1b5446077afe7df2765e0f1d0d2e4,2026-06-15
app/src/main/res/raw/wolf_fs5.mp3,Wolf,https://freesound.org/people/kiwisarecool/sounds/203342/ (id 203342: Howl of the night),426e1e1c4d86199fc5ebe75a9de44c141c0475bf4d9527110941b4aab52f4925,2026-06-15
app/src/main/res/raw/chicken_fs2.mp3,Chicken,https://freesound.org/people/chanyatenn/sounds/424076/ (id 424076: chicken sound - clucking.wav),acf973100cfb195505c670082833afd73015624efbf73b35c0c71f581aa6ec4e,2026-06-15
app/src/main/res/raw/chicken_fs4.mp3,Chicken,https://freesound.org/people/RG2Cents/sounds/536501/ (id 536501: chicken clucking.mp3),ca4aada702d3a6450f20974bc3d16da192bf0e2894ec618fbb1470e9c67d62bb,2026-06-15
app/src/main/res/raw/sheep_fs9.mp3,Sheep,https://freesound.org/people/satoristudios3/sounds/692898/ (id 692898: Twin Lambs Baa-ing),5f54f5ffe4351eb341cae6ab67629c6bafcfa61114c63f368433c1805d1f47fc,2026-06-15
app/src/main/res/raw/owl_fs2.mp3,Owl,https://freesound.org/people/Gerent/sounds/558398/ (id 558398: owl_hooting_000102_0145S3 002-070 000-002 007-015.wav),e4eef0d1c8cabd39856698df7f3c75f1e724712629f465db02924e17abb596e7,2026-06-15
app/src/main/res/raw/cow_fs6.mp3,Cow,https://freesound.org/people/spurioustransients/sounds/513558/ (id 513558: Cow moo #2),849dbba36d3a4d97c72b258b5aecbede7a72077c5dd198cc32973cb663910772,2026-06-15
app/src/main/res/raw/donkey_fs5.mp3,Donkey,"https://freesound.org/people/felix.blume/sounds/705300/ (id 705300: Donkey braying loud with distant village atmosphere, close recording)",400c95531aba19ecc659ca000489d6c80df40acaa18d6fc32bc575487d7635b8,2026-06-15
app/src/main/res/raw/owl_fs8.mp3,Owl,https://freesound.org/people/gfrog/sounds/159727/ (id 159727: Crickets and Owl),97ae42869a4dd25f73ad485650d6f91e7846f367c63a14c07c6a7e08c073026f,2026-06-15
